"geracao","O","B","Y","sim"
100,0,0,1,1
100,1,0,0,2
100,0,0,1,3
100,0,0,1,4
100,0,0,1,5
100,0,0,1,6
100,0,0,1,7
100,0,0,1,8
100,0,0,1,9
100,1,0,0,10
100,0,0,1,11
100,0,0,1,12
100,0,0,1,13
100,0,0,1,14
100,0,0,1,15
100,0,0,1,16
100,1,0,0,17
100,0,0,1,18
100,0,0,1,19
100,1,0,0,20
100,0,0,1,21
100,0,0,1,22
100,0,0,1,23
100,0,0,1,24
100,1,0,0,25
100,1,0,0,26
100,0,0,1,27
100,1,0,0,28
100,0,0,1,29
100,1,0,0,30
100,0,0,1,31
100,1,0,0,32
100,1,0,0,33
100,0,0,1,34
100,0,0,1,35
100,0,0,1,36
100,0,0,1,37
100,0,0,1,38
100,0,0,1,39
100,0,0,1,40
100,0,0,1,41
100,1,0,0,42
100,0,0,1,43
100,1,0,0,44
100,0,0,1,45
100,0,0,1,46
100,0,0,1,47
100,0,0,1,48
100,0,0,1,49
100,0,0,1,50
100,1,0,0,51
100,0,0,1,52
100,1,0,0,53
100,0,0,1,54
100,1,0,0,55
100,0,0,1,56
100,0,0,1,57
100,0,0,1,58
100,0,0,1,59
100,0,0,1,60
100,1,0,0,61
100,0,0,1,62
100,0,0,1,63
100,0,0,1,64
100,0,0,1,65
100,0,1,0,66
100,0,0,1,67
100,0,0,1,68
100,1,0,0,69
100,1,0,0,70
100,0,0,1,71
100,0,0,1,72
100,0,0,1,73
100,1,0,0,74
100,0,0,1,75
100,0,0,1,76
100,0,0,1,77
100,0,0,1,78
100,0,0,1,79
100,0,0,1,80
100,0,0,1,81
100,0,0,1,82
100,0,0,1,83
100,0,0,1,84
100,0,0,1,85
100,0,0,1,86
100,0,0,1,87
100,0,0,1,88
100,0,0,1,89
100,0,0,1,90
100,0,0,1,91
100,0,0,1,92
100,1,0,0,93
100,1,0,0,94
100,0,0,1,95
100,0,0,1,96
100,0,0,1,97
100,0,0,1,98
100,1,0,0,99
100,0,0,1,100
